INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Maria.Astaberg1@mail.dk', 'Maria', 'Astaberg', '4750');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Gitte.Astridhøj2@mail.dk', 'Gitte', 'Astridhøj', '5684');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Emil.Emiliehus3@mail.dk', 'Emil', 'Emiliehus', '5283');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Michael.Bob-san4@mail.dk', 'Michael', 'Bob-san', '4723');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Kurt.Lucasmand5@mail.dk', 'Kurt', 'Lucasmand', '1457');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Aksel.Livholm6@mail.dk', 'Aksel', 'Livholm', '1770');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Noah.Leahøj7@mail.dk', 'Noah', 'Leahøj', '1400');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Henrik.Elliot-san8@mail.dk', 'Henrik', 'Elliot-san', '3821');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Rasmus.Sigurd.zip9@mail.dk', 'Rasmus', 'Sigurd.zip', '3217');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Alba.Bentemand10@mail.dk', 'Alba', 'Bentemand', '3453');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Oscar.Karlaholm11@mail.dk', 'Oscar', 'Karlaholm', '1330');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Nohr.Thomas-san12@mail.dk', 'Nohr', 'Thomas-san', '3189');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Josefine.Larsberg13@mail.dk', 'Josefine', 'Larsberg', '1910');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Lily.Malthe-san14@mail.dk', 'Lily', 'Malthe-san', '3160');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Jacob.Astahøj15@mail.dk', 'Jacob', 'Astahøj', '2614');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Per.Frederik.zip16@mail.dk', 'Per', 'Frederik.zip', '1000');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Tina.Rosa-san17@mail.dk', 'Tina', 'Rosa-san', '6387');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Mathilde.Carlhøj18@mail.dk', 'Mathilde', 'Carlhøj', '2181');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Henrik.Albertson19@mail.dk', 'Henrik', 'Albertson', '1446');
INSERT INTO INFO (type, email, firstname, lastname, address_id) VALUES ('P', 'Frida.Louie-san20@mail.dk', 'Frida', 'Louie-san', '3609');
